name
EURUSD
JPY
GBPUSD
AUDUSD
NZDUSD
EURJPY
GBPJPY
EURGBP
EURCAD
EURSEK
EURCHF
EURHUF
EURJPY
CNY
HKD
SGD
INR
MXN
PHP
IDR
THB
MYR
ZAR
RUB
